User Name,Source IP,Destination IP,Timestamp,OS Name,Browser Info,Login Status,City,State,Country,Latitude,Longitude,Failed Login Count,Previous Successful Login,Network Latency (ms),Capture File,Source Port,Destination Port,Protocol Type,Flow Duration,Packet Size,Flow Bytes per Second,Flow Packets per Second,Total Forward Packets,Total Backward Packets,IAT Forward,IAT Backward,Idle Duration,Total Packets,Total Bytes
Abhi,192.168.225.86,192.168.225.86,2025-04-27 19:08:30,Windows 10,Chrome 135.0.0,Success,Bengaluru,Karnataka,India,12.9630208,77.6077312,0,2025-04-27 19:03:11,0.0,captures/Abhi_20250427_190821.pcapng,443,443,TLSv1.2,4.496,251.33,3577.99,14.24,0,63,0,0.072509,2.692105,64,16085
Abhi,192.168.225.86,192.168.225.86,2025-04-27 19:15:58,Windows 10,Chrome 135.0.0,Failure,Bengaluru,Karnataka,India,12.9630208,77.6077312,1,2025-04-27 19:08:30,0.0,captures/Abhi_20250427_191549.pcapng,443,443,TLSv1.2,2.846,207.96,1680.66,8.08,6,17,0.040405,0.177862,1.170886,23,4783
Abhi,192.168.225.86,192.168.225.86,2025-04-27 19:17:07,Windows 10,Chrome 135.0.0,Success,Bengaluru,Karnataka,India,12.9630208,77.6077312,0,2025-04-27 19:08:30,0.0,captures/Abhi_20250427_191659.pcapng,443,443,TCP,4.004,246.15,6270.06,25.47,8,94,0.04353,0.043056,1.955525,102,25107
Abhi,192.168.225.86,20.42.73.31,2025-04-27 19:38:01,Windows 10,Chrome 135.0.0,Success,Bengaluru,Karnataka,India,12.9630208,77.6077312,0,2025-04-27 19:37:19,N/A,captures/Abhi_20250427_193753.pcapng,443,443,TLSv1.2,2.324,293.08,3152.15,10.76,10,15,0.258272,0.122411,0.440279,25,7327
